path,target
train_1111.png,0
train_5746.png,0
train_6365.png,0
train_0152.png,1
train_0928.png,1
train_1158.png,1
train_1614.png,1
train_1732.png,1
train_1756.png,1
train_2296.png,1
train_2682.png,1
train_2884.png,1
train_3239.png,1
train_3380.png,1
train_3699.png,1
train_4077.png,1
train_4091.png,1
train_4106.png,1
train_4386.png,1
train_4843.png,1
train_5360.png,1
train_6023.png,1
train_6088.png,1
train_6412.png,1
train_6475.png,1
train_0014.png,2
train_0102.png,2
train_1387.png,2
train_1704.png,2
train_2224.png,2
train_3231.png,2
train_3480.png,2
train_3869.png,2
train_4180.png,2
train_4880.png,2
train_5070.png,2
train_5557.png,2
train_0164.png,3
train_0487.png,3
train_0699.png,3
train_0719.png,3
train_0914.png,3
train_1589.png,3
train_1758.png,3
train_1868.png,3
train_2064.png,3
train_2166.png,3
train_2231.png,3
train_2325.png,3
train_2619.png,3
train_2862.png,3
train_2915.png,3
train_3261.png,3
train_3360.png,3
train_3533.png,3
train_3603.png,3
train_3912.png,3
train_3980.png,3
train_4388.png,3
train_4432.png,3
train_4561.png,3
train_4808.png,3
train_4832.png,3
train_5501.png,3
train_5569.png,3
train_5595.png,3
train_6013.png,3
train_6249.png,3
train_0026.png,4
train_0047.png,4
train_0179.png,4
train_0193.png,4
train_0281.png,4
train_0304.png,4
train_0494.png,4
train_0584.png,4
train_0610.png,4
train_0710.png,4
train_0776.png,4
train_0788.png,4
train_0911.png,4
train_0919.png,4
train_0940.png,4
train_1010.png,4
train_1181.png,4
train_1313.png,4
train_1382.png,4
train_1423.png,4
train_1444.png,4
train_1534.png,4
train_1692.png,4
train_1728.png,4
train_1807.png,4
train_1945.png,4
train_1955.png,4
train_2030.png,4
train_2577.png,4
train_2661.png,4
train_2792.png,4
train_2819.png,4
train_2967.png,4
train_2980.png,4
train_3041.png,4
train_3042.png,4
train_3176.png,4
train_3237.png,4
train_3604.png,4
train_3639.png,4
train_3789.png,4
train_3879.png,4
train_3929.png,4
train_4050.png,4
train_4147.png,4
train_4198.png,4
train_4253.png,4
train_4440.png,4
train_4472.png,4
train_4488.png,4
train_4610.png,4
train_4680.png,4
train_4869.png,4
train_4900.png,4
train_4918.png,4
train_4981.png,4
train_5313.png,4
train_5333.png,4
train_5357.png,4
train_5441.png,4
train_5503.png,4
train_5514.png,4
train_5600.png,4
train_5620.png,4
train_5987.png,4
train_6003.png,4
train_6062.png,4
train_6104.png,4
train_6119.png,4
train_6410.png,4
train_6462.png,4
train_6541.png,4
train_6599.png,4
train_0053.png,5
train_0065.png,5
train_0091.png,5
train_0094.png,5
train_0190.png,5
train_0204.png,5
train_0264.png,5
train_0323.png,5
train_0394.png,5
train_0481.png,5
train_0488.png,5
train_0524.png,5
train_0532.png,5
train_0540.png,5
train_0581.png,5
train_0638.png,5
train_0764.png,5
train_0813.png,5
train_0832.png,5
train_0884.png,5
train_0900.png,5
train_0904.png,5
train_1135.png,5
train_1146.png,5
train_1148.png,5
train_1222.png,5
train_1257.png,5
train_1263.png,5
train_1310.png,5
train_1380.png,5
train_1470.png,5
train_1544.png,5
train_1574.png,5
train_1584.png,5
train_1613.png,5
train_1620.png,5
train_1622.png,5
train_1638.png,5
train_1690.png,5
train_1717.png,5
train_1778.png,5
train_1860.png,5
train_1942.png,5
train_2080.png,5
train_2117.png,5
train_2128.png,5
train_2143.png,5
train_2217.png,5
train_2254.png,5
train_2287.png,5
train_2340.png,5
train_2344.png,5
train_2411.png,5
train_2450.png,5
train_2474.png,5
train_2494.png,5
train_2559.png,5
train_2585.png,5
train_2714.png,5
train_2756.png,5
train_3153.png,5
train_3200.png,5
train_3296.png,5
train_3320.png,5
train_3454.png,5
train_3473.png,5
train_3474.png,5
train_3510.png,5
train_3525.png,5
train_3529.png,5
train_3647.png,5
train_3655.png,5
train_3660.png,5
train_3712.png,5
train_3786.png,5
train_3839.png,5
